N	P	K	Bloco	Y
0	0	0	1	31.8
1	0	0	1	35.3
0	1	0	1	36.2
0	0	1	1	25.6
1	1	0	1	43.8
1	0	1	1	51.5
0	1	1	1	37.1
1	1	1	1	47
0	0	0	2	40.5
1	0	0	2	39
0	1	0	2	37.8
0	0	1	2	32.4
1	1	0	2	32.7
1	0	1	2	66.1
0	1	1	2	53
1	1	1	2	49.9
0	0	0	3	25.7
1	0	0	3	36
0	1	0	3	40.9
0	0	1	3	39.6
1	1	0	3	43.3
1	0	1	3	51.7
0	1	1	3	36.4
1	1	1	3	50.9
0	0	0	4	25.7
1	0	0	4	33.5
0	1	0	4	44.8
0	0	1	4	48.9
1	1	0	4	41.8
1	0	1	4	52
0	1	1	4	43
1	1	1	4	49.1
0	0	0	5	37.2
1	0	0	5	28.2
0	1	0	5	32.4
0	0	1	5	20.6
1	1	0	5	31.9
1	0	1	5	56.5
0	1	1	5	19.7
1	1	1	5	71.7
0	0	0	6	45.3
1	0	0	6	42.4
0	1	0	6	38.4
0	0	1	6	33.7
1	1	0	6	37.7
1	0	1	6	58.2
0	1	1	6	30.4
1	1	1	6	39.6
