Irrigação	Adubação	rep	Y
I1	A1	1	17.7
I1	A2	1	17.0
I1	A3	1	18.9
I1	A4	1	18.6
I2	A1	1	16.7
I2	A2	1	17.6
I2	A3	1	18.0
I2	A4	1	18.5
I3	A1	1	16.6
I3	A2	1	17.2
I3	A3	1	18.1
I3	A4	1	18.5
I1	A1	2	17.3
I1	A2	2	18.6
I1	A3	2	18.1
I1	A4	2	18.5
I2	A1	2	17.0
I2	A2	2	17.6
I2	A3	2	18.1
I2	A4	2	18.8
I3	A1	2	17.7
I3	A2	2	17.8
I3	A3	2	18.2
I3	A4	2	19.5
I1	A1	3	18.0
I1	A2	3	17.1
I1	A3	3	18.5
I1	A4	3	19.5
I2	A1	3	17.3
I2	A2	3	18.2
I2	A3	3	18.6
I2	A4	3	17.6
I3	A1	3	17.5
I3	A2	3	17.6
I3	A3	3	18.6
I3	A4	3	19.1
I1	A1	4	18.2
I1	A2	4	18.0
I1	A3	4	18.4
I1	A4	4	18.3
I2	A1	4	18.2
I2	A2	4	17.7
I2	A3	4	19.5
I2	A4	4	20.4
I3	A1	4	17.5
I3	A2	4	17.6
I3	A3	4	19.6
I3	A4	4	19.0
I1	A1	5	17.3
I1	A2	5	19.4
I1	A3	5	19.2
I1	A4	5	20.1
I2	A1	5	17.8
I2	A2	5	19.5
I2	A3	5	20.7
I2	A4	5	20.0
I3	A1	5	17.3
I3	A2	5	18.6
I3	A3	5	19.0
I3	A4	5	19.5
