E	V	Bloco	Y
1	1	1	2.9166
1	2	1	2.6416
2	1	1	3.4889
2	2	1	4.0583
3	1	1	2.3166
3	2	1	3.4500
4	1	1	2.7916
4	2	1	3.4166
5	1	1	3.5583
5	2	1	3.5000
6	1	1	2.7833
6	2	1	2.5583
7	1	1	2.3000
7	2	1	1.4250
8	1	1	1.1666
8	2	1	2.0083
1	1	2	2.8833
1	2	2	3.6666
2	1	2	3.5833
2	2	2	4.3000
3	1	2	2.8666
3	2	2	3.7666
4	1	2	2.7583
4	2	2	2.7416
5	1	2	3.1583
5	2	2	3.1166
6	1	2	2.5166
6	2	2	2.5666
7	1	2	2.2083
7	2	2	1.9166
8	1	2	1.6916
8	2	2	1.7833
1	1	3	2.4750
1	2	3	3.6166
2	1	3	3.3333
2	2	3	2.9083
3	1	3	2.4916
3	2	3	3.5333
4	1	3	3.1916
4	2	3	3.5083
5	1	3	2.7916
5	2	3	3.0916
6	1	3	2.1250
6	2	3	2.0416
7	1	3	2.0666
7	2	3	1.8750
8	1	3	1.4666
8	2	3	1.7416
